deal-portrait href,deal-image src,label,label 2,title,count,short,old,new,discount
https://www.cobone.com/en/deals/food-dining-dubai/1-sushi-sashimi-teppanyaki-minato-radisson-blu/149198,https://cdn.cobone.com/deals/uae/149198/1..webp?v=58,Deira,2612 Bought,"Unlimited Sushi,Sashimi,Teppanyaki @ Radisson",32,Dinner at Minato,225,119,47%
https://www.cobone.com/en/deals/food-dining-dubai/1-weekend-brunch-pool-emirates-grand-hotel/167858,https://cdn.cobone.com/deals/uae/141632/1-weekend-brunch-pool-emirates-grand-hotel.jpg?v=10,Sheikh Zayed Road,506 Bought,Weekend Brunch & Pool at Emirates Grand Hotel,4,Saturday & Sunday buffet with beverages!,120,69,43%
https://www.cobone.com/en/deals/food-dining-dubai/1-breakfast-buffet-pool-the-manor-1-adult/169364,https://cdn.cobone.com/deals/uae/169364/1.webp?v=10,Al Furjan,1 Bought,Breakfast and Pool Access at The Manor by JA,7.03030303,Valid for up to 4 people!,115,65,43%
https://www.cobone.com/en/deals/food-dining-dubai/1-5star-iftar-buffet-stella-di-mare/173064,https://cdn.cobone.com/deals/uae/173064/72-f.webp?v=14,Dubai Marina,47 Bought,FLASH SALE! 5* Iftar at Stella Di Mare Marina,7.03030303,With beverages for up to 4 adults,169,99,41%
https://www.cobone.com/en/deals/food-dining-dubai/1-breakfast-buffet-studio-m-deira-1-adult/175529,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mP8Xw8AAoMBgDTD2qgAAAAASUVORK5CYII=",Deira,5 Bought,FLASH SALE| Studio M Arabian Plaza Breakfast,7.03030303,Unlimited Ramadan drinks included,55,25,55%
https://www.cobone.com/en/deals/food-dining-dubai/1-iftar-buffet-arjaan-by-rotana/170276,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mP8Xw8AAoMBgDTD2qgAAAAASUVORK5CYII=",Dubai Media City,48 Bought,Iftar Buffet at Arjaan by Rotana Media City,7.03030303,Valid at Skylight Restaurant,179,149,17%
https://www.cobone.com/en/deals/food-dining-dubai/1-arabic-suhoor-menu-he-hotel-1-adult/170963,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mP8Xw8AAoMBgDTD2qgAAAAASUVORK5CYII=",Jumeirah Village Circle,2 Bought,Arabic Suhoor at HE Hotel Apartments,7.03030303,"With dates, Ramadan juices, and more!",49,39,20%
https://www.cobone.com/en/deals/food-dining-dubai/1-staycation-iftar-or-suhoor-single-grand-central/170992,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mP8Xw8AAoMBgDTD2qgAAAAASUVORK5CYII=",Deira,0 Bought,Staycation + Iftar or Suhoor at Grand Central,7.03030303,Valid during the holy month of Ramadan,250,199,20%
https://www.cobone.com/en/deals/food-dining-dubai/1-international-iftar-buffet-novotel-suites-moe/170434,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mP8Xw8AAoMBgDTD2qgAAAAASUVORK5CYII=",Al Barsha / TECOM,16 Bought,International Iftar at Novotel Suites MOE,7.03030303,Valid from 11th to 30th day of Ramadan,170,110,35%
https://www.cobone.com/en/deals/food-dining-dubai/1-arabic-iftar-buffet-sheraton-creek-1-adult/170588,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mP8Xw8AAoMBgDTD2qgAAAAASUVORK5CYII=",Deira,54 Bought,5* Iftar Buffet at Sheraton Dubai Creek Hotel,7.03030303,"With live stations, Ramadan juices and more",179,129,28%
https://www.cobone.com/en/deals/food-dining-dubai/1-arabic-iftar-buffet-novotel-al-barsha/170850,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mP8Xw8AAoMBgDTD2qgAAAAASUVORK5CYII=",Al Barsha / TECOM,171 Bought,Moroccan Iftar @Novotel Dubai Al Barsha Hotel,7.03030303,Valid from 8th to 30th day of Ramadan,160,119,26%
https://www.cobone.com/en/deals/food-dining-dubai/1-iftar-buffet-ibis-barsha-hotel/170856,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mP8Xw8AAoMBgDTD2qgAAAAASUVORK5CYII=",Al Barsha / TECOM,402 Bought,Iftar Buffet at Ibis Dubai Al Barsha,7.03030303,Valid from 8th to 30th day of Ramadan,95,65,32%
https://www.cobone.com/en/deals/food-dining-dubai/1-arabic-international-iftar-md-hotel-1-adult/170871,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mP8Xw8AAoMBgDTD2qgAAAAASUVORK5CYII=",Al Barsha / TECOM,2 Bought,International Iftar Buffet at MD Hotel,7.03030303,"With Lamb Ouzi, Grills, Um Ali & more",99,79,20%
https://www.cobone.com/en/deals/food-dining-dubai/1-iftar-buffet-crystal-plaza-almajaz/171262,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mP8Xw8AAoMBgDTD2qgAAAAASUVORK5CYII=",Al Majaz,11 Bought,Iftar Buffet at Crystal Plaza Al Majaz,7.03030303,Valid during the Holy Month of Ramadan,89,59,34%
https://www.cobone.com/en/deals/food-dining-dubai/1-arabic-iftar-buffet-copthorne-lakeview-1-adult/171292,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mP8Xw8AAoMBgDTD2qgAAAAASUVORK5CYII=",Green Community,21 Bought,Arabic Iftar at Copthorne Lakeview,7.03030303,Buffet with unlimited Ramadan beverages!,149,119,20%
https://www.cobone.com/en/deals/food-dining-dubai/1-arabic-iftar-tent-novotel-fujairah-1-adult/171309,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mP8Xw8AAoMBgDTD2qgAAAAASUVORK5CYII=",Fujairah,11 Bought,Novotel Fujairah Iftar Buffet,7.03030303,Arabic buffet with Ramadan juices,149,99,34%
https://www.cobone.com/en/deals/food-dining-dubai/1-arabic-suhoor-buffet-novotel-fujairah-1-adult/171312,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mP8Xw8AAoMBgDTD2qgAAAAASUVORK5CYII=",Fujairah,0 Bought,Suhoor Buffet at Novotel Fujairah,7.03030303,Arabic buffet with Ramadan juices,90,55,39%
https://www.cobone.com/en/deals/food-dining-dubai/1-arabic-international-iftar-buffet-grand-stay/171324,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mP8Xw8AAoMBgDTD2qgAAAAASUVORK5CYII=",Sheikh Zayed Road,0 Bought,Traditional Iftar Buffet at Grand Stay Hotel,7.03030303,Includes unlimited Ramadan juices and water,192,144,25%
https://www.cobone.com/en/deals/food-dining-dubai/1-5-star-iftar-buffet-fujairah-rotana/171493,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mP8Xw8AAoMBgDTD2qgAAAAASUVORK5CYII=",Fujairah,11 Bought,5-Star Iftar Buffet at Fujairah Rotana,7.03030303,Arabic & International buffet with drinks,149,119,20%
https://www.cobone.com/en/deals/food-dining-dubai/1-5-star-iftar-buffet-aljaddaf-rotana/171630,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mP8Xw8AAoMBgDTD2qgAAAAASUVORK5CYII=",Al Jaddaf,34 Bought,5* Iftar Buffet at Al Jaddaf Rotana Hotel,7.03030303,Valid daily at Timo Restaurant,200,159,20%
